,종목코드,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
2196,094360,칩스앤미디어,23850.0,1450.0,+6.47%,500.0,2299.0,9640.0,0.72,1263025.0,75.24,5.96
2197,092130,이크레더블,19050.0,100.0,-0.52%,500.0,2294.0,12044.0,13.69,6692.0,16.81,23.4
2198,067990,도이치모터스,7740.0,10.0,-0.13%,500.0,2293.0,29624.0,5.86,99758.0,7.41,5.48
2199,217600,켐온,3590.0,245.0,+7.32%,100.0,2293.0,63861.0,0.83,3277305.0,66.48,4.19
2200,207760,미스터블루,9250.0,140.0,-1.49%,100.0,2290.0,24762.0,0.49,234779.0,43.43,25.45
2201,264450,유비쿼스,22350.0,400.0,+1.82%,500.0,2290.0,10246.0,3.38,50390.0,9.49,16.92
2202,357580,아모센스,20400.0,200.0,+0.99%,500.0,2285.0,11200.0,0.19,309156.0,-24.23,-98.75
2203,058970,엠로,41900.0,1600.0,+3.97%,500.0,2274.0,5426.0,0.65,67437.0,63.48,
2204,200670,휴메딕스,22800.0,200.0,+0.88%,500.0,2273.0,9971.0,4.39,22230.0,15.12,12.99
2205,012700,리드코프,8580.0,0.0,0.00%,500.0,2269.0,26446.0,8.99,50192.0,5.66,11.78
2206,318020,포인트모바일,17900.0,400.0,+2.29%,100.0,2267.0,12662.0,1.07,68932.0,-10.22,-42.01
2207,053290,NE능률,13700.0,1400.0,+11.38%,500.0,2264.0,16526.0,0.96,8662601.0,24.91,1.61
2208,348030,모비릭스,24200.0,350.0,-1.43%,100.0,2252.0,9304.0,1.86,220594.0,22.04,27.19
2209,091580,상신이디피,16600.0,100.0,-0.60%,500.0,2244.0,13521.0,2.47,301762.0,14.6,12.85
2210,352910,오비고,19600.0,750.0,-3.69%,500.0,2243.0,11445.0,2.0,633328.0,-38.51,36.12
2211,161580,필옵틱스,10700.0,200.0,+1.90%,500.0,2242.0,20953.0,0.89,70081.0,-57.84,6.22
2212,263920,휴온스블러썸,4555.0,0.0,0.00%,500.0,2234.0,49045.0,0.05,0.0,-3.87,-80.76
2213,136540,윈스,16150.0,250.0,+1.57%,500.0,2231.0,13812.0,4.29,32372.0,14.58,15.2
2214,036710,심텍홀딩스,5470.0,130.0,+2.43%,500.0,2224.0,40664.0,7.26,1049063.0,9.82,18.52
2215,203650,드림시큐리티,4395.0,85.0,+1.97%,100.0,2224.0,50606.0,0.84,381174.0,26.48,7.42
2216,180400,캔서롭,7740.0,0.0,0.00%,500.0,2221.0,28693.0,0.09,0.0,-49.62,-25.54
2217,278650,노터스,29000.0,700.0,+2.47%,100.0,2219.0,7652.0,2.31,103321.0,26.22,17.38
2218,163730,핑거,24000.0,400.0,+1.69%,500.0,2217.0,9239.0,10.92,361857.0,-88.24,21.55
2219,255440,야스,16950.0,950.0,+5.94%,500.0,2213.0,13058.0,0.54,336021.0,126.49,7.51
2220,033170,시그네틱스,2580.0,65.0,+2.58%,500.0,2212.0,85728.0,8.91,5270240.0,-19.11,-30.75
2221,211270,AP위성,14650.0,1000.0,+7.33%,500.0,2210.0,15082.0,1.07,162896.0,-96.38,-1.68
2222,018310,삼목에스폼,15000.0,0.0,0.00%,500.0,2205.0,14700.0,2.08,32191.0,312.5,0.21
2223,260930,씨티케이,11350.0,150.0,+1.34%,500.0,2195.0,19342.0,1.91,80634.0,-86.64,-0.27
2224,060590,씨티씨바이오,9290.0,170.0,+1.86%,500.0,2195.0,23624.0,4.42,34585.0,-23.0,-25.76
2225,026150,특수건설,12500.0,700.0,-5.30%,500.0,2193.0,17546.0,1.68,2413615.0,102.46,2.7
2226,058630,엠게임,11200.0,500.0,+4.67%,500.0,2189.0,19544.0,8.34,667477.0,13.95,15.71
2227,067900,와이엔텍,12000.0,300.0,+2.56%,500.0,2184.0,18200.0,3.75,169214.0,10.55,15.0
2228,087010,펩트론,10550.0,50.0,+0.48%,500.0,2176.0,20627.0,3.09,25530.0,-12.83,-34.94
2229,080220,제주반도체,6290.0,140.0,+2.28%,500.0,2166.0,34443.0,0.35,881178.0,14.1,9.72
2230,244460,올리패스,8270.0,60.0,-0.72%,500.0,2164.0,26164.0,3.49,111864.0,-10.2,-77.11
2231,043370,피에이치에이,10300.0,100.0,+0.98%,500.0,2163.0,21000.0,9.79,42274.0,4.96,1.36
2232,306040,에스제이그룹,21900.0,0.0,0.00%,500.0,2161.0,9866.0,5.52,27209.0,10.22,20.6
2233,201490,미투온,6880.0,130.0,+1.93%,500.0,2151.0,31258.0,3.07,565273.0,26.06,12.62
2234,137950,제이씨케미칼,9620.0,370.0,+4.00%,500.0,2142.0,22268.0,1.52,488152.0,7.83,8.03
2235,361390,제노코,28550.0,550.0,+1.96%,500.0,2141.0,7501.0,9.63,164812.0,57.21,22.71
2236,115160,휴맥스,4880.0,45.0,-0.91%,500.0,2140.0,43842.0,4.73,715388.0,-6.21,-24.36
2237,126600,코프라,10100.0,120.0,+1.20%,500.0,2133.0,21116.0,1.33,298064.0,9.6,11.19
2238,084730,팅크웨어,20400.0,350.0,+1.75%,500.0,2127.0,10426.0,4.44,80392.0,25.37,5.56
2239,193250,와이제이엠게임즈,3715.0,60.0,+1.64%,100.0,2124.0,57184.0,1.22,4902710.0,-37.91,-11.87
2240,238090,앤디포스,8960.0,40.0,-0.44%,500.0,2115.0,23605.0,0.93,47091.0,229.74,6.72
2241,067290,JW신약,4810.0,530.0,-9.93%,500.0,2113.0,43937.0,0.8,4014481.0,-71.79,-10.51
2242,314930,바이오다인,34250.0,750.0,+2.24%,500.0,2113.0,6168.0,1.3,29221.0,-15.42,-65.61
2243,066700,테라젠이텍스,6500.0,10.0,+0.15%,500.0,2111.0,32474.0,1.29,52357.0,-23.38,-3.52
2244,290720,푸드나무,31000.0,200.0,-0.64%,500.0,2110.0,6806.0,9.12,3700.0,65.96,11.76
2245,104620,노랑풍선,14750.0,450.0,+3.15%,500.0,2109.0,14297.0,0.49,157755.0,-15.61,-11.18
2246,361570,알비더블유,26550.0,750.0,-2.75%,500.0,2106.0,7931.0,0.23,77323.0,40.29,26.97
2247,253840,수젠텍,13550.0,200.0,+1.50%,500.0,2095.0,15460.0,0.59,97611.0,7.43,-93.85
2248,053280,예스24,8370.0,20.0,+0.24%,500.0,2092.0,25000.0,1.48,57421.0,8.27,0.13
2249,298060,에스씨엠생명과학,17400.0,550.0,+3.26%,500.0,2092.0,12022.0,6.5,50880.0,-16.2,-24.1
2250,160980,싸이맥스,19050.0,600.0,+3.25%,500.0,2081.0,10924.0,2.71,84264.0,7.82,20.05
2251,251970,펌텍코리아,16650.0,0.0,0.00%,500.0,2065.0,12400.0,1.29,19794.0,10.43,12.15
2252,352700,씨앤투스성진,7300.0,80.0,+1.11%,500.0,2064.0,28277.0,5.52,577986.0,4.4,75.7
2253,018120,진로발효,31150.0,400.0,+1.30%,500.0,2062.0,6621.0,9.58,1972.0,26.83,14.36
2254,025320,시노펙스,2815.0,10.0,+0.36%,500.0,2062.0,73243.0,2.61,203709.0,-56.3,-11.27
2255,294140,레몬,5510.0,20.0,+0.36%,500.0,2039.0,37000.0,0.58,32389.0,-11.38,31.49
2256,187870,디바이스이엔지,28950.0,400.0,+1.40%,500.0,2037.0,7037.0,0.85,11819.0,6.43,37.44
2257,270870,뉴트리,22350.0,500.0,+2.29%,500.0,2037.0,9113.0,3.9,20739.0,9.24,30.0
2258,082210,옵트론텍,8330.0,90.0,+1.09%,500.0,2031.0,24384.0,1.96,212316.0,-20.02,-7.52
2259,311320,지오엘리먼트,32750.0,750.0,-2.24%,500.0,2028.0,6193.0,0.58,78718.0,,12.2
2260,290090,트윔,27900.0,250.0,+0.90%,500.0,2028.0,7269.0,0.15,29329.0,,6.58
2261,089140,넥스턴바이오,6100.0,20.0,+0.33%,500.0,2026.0,33221.0,2.16,316788.0,-22.18,-2.47
2262,082850,우리바이오,4310.0,50.0,+1.17%,500.0,2026.0,46997.0,0.79,337897.0,8.32,16.47
2263,228850,레이언스,12200.0,50.0,+0.41%,500.0,2024.0,16591.0,2.94,25081.0,46.74,-1.0
2264,338220,뷰노,18050.0,150.0,+0.84%,100.0,2023.0,11209.0,6.06,56897.0,-9.94,-1250.52
2265,092730,네오팜,24650.0,300.0,+1.23%,500.0,2023.0,8207.0,11.73,8167.0,11.11,16.23
